endTime,artistName,trackName,msPlayed
2021-11-20 21:51,Pitbull,Timber (feat. Ke$ha),204160
2021-11-20 21:55,Jason Derulo,Whatcha Say,221253
2021-11-20 21:59,Coleman Hell,Sitcom,2722
2021-11-20 21:59,Demi Lovato,Heart Attack,210840
2021-11-20 21:59,Capital Cities,Safe And Sound,137
2021-11-20 22:03,Capital Cities,Safe And Sound,191282
2021-11-20 22:06,Rihanna,Diamonds,225146
2021-11-20 22:10,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),193000
2021-11-20 22:13,Rixton,Me And My Broken Heart,193733
2021-11-20 22:17,Katy Perry,Firework,227880
2021-11-20 22:20,Bastille,Bad Blood,212613
2021-11-20 22:25,Ava Max,Sweet but Psycho,187436
2021-11-20 22:28,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),214280
2021-11-20 22:37,David Guetta,Without You (feat. Usher),208133
2021-11-20 22:40,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),202626
2021-12-03 04:54,Owl City,The Real World,214666
2021-12-03 04:57,Owl City,Deer In The Headlights,180626
2021-12-03 05:01,Owl City,Angels,220080
2021-12-03 05:05,Owl City,Dreams Don't Turn To Dust,224666
2021-12-03 23:01,Owl City,Honey And The Bee,224773
2021-12-03 23:05,Owl City,"January 28, 1986",37973
2021-12-03 23:05,Owl City,Kamikaze,207733
2021-12-03 23:09,Owl City,Galaxies,243200
2021-12-03 23:13,Owl City,Hospital Flowers,218520
2021-12-03 23:18,Owl City,Alligator Sky,185306
2021-12-03 23:22,Owl City,The Yacht Club,272720
2021-12-04 18:17,Owl City,Plant Life,250813
2021-12-04 18:21,Owl City,Alligator Sky - No Rap Version,195133
2021-12-04 18:24,American Authors,Best Day Of My Life,4060
2021-12-04 18:24,Owl City,Tokyo,219760
2021-12-04 18:28,Owl City,The Real World,214666
2021-12-04 18:33,Owl City,Deer In The Headlights,180626
2021-12-04 18:36,Owl City,Angels,220080
2021-12-04 18:37,Owl City,Honey And The Bee,2430
2021-12-04 18:37,Owl City,Dreams Don't Turn To Dust,49402
2021-12-04 18:41,Owl City,Dreams Don't Turn To Dust,224666
2021-12-04 18:47,Owl City,Honey And The Bee,224773
2021-12-04 19:14,Owl City,Kamikaze,207733
2021-12-04 19:15,Owl City,"January 28, 1986",37973
2021-12-04 19:19,Owl City,Galaxies,243200
2021-12-04 19:24,Owl City,Hospital Flowers,218520
2021-12-04 19:27,Owl City,Alligator Sky,185306
2021-12-04 19:31,Owl City,The Yacht Club,272720
2021-12-04 19:40,Owl City,Plant Life,250813
2021-12-04 19:43,Owl City,Alligator Sky - No Rap Version,195133
2021-12-04 19:48,Owl City,The Real World,214666
2021-12-04 19:51,Owl City,Deer In The Headlights,180626
2021-12-04 19:55,Owl City,Angels,220080
2021-12-04 20:00,Owl City,Dreams Don't Turn To Dust,224666
2021-12-04 20:04,Owl City,Honey And The Bee,224773
2021-12-04 20:04,Owl City,Kamikaze,6624
2021-12-04 20:08,Owl City,Galaxies,243200
2021-12-04 20:11,Owl City,Hospital Flowers,66414
2021-12-04 20:13,Lauren Daigle,Jingle Bells,109154
2021-12-04 20:13,Amy Grant,Breath Of Heaven (Mary's Song),17265
2021-12-04 20:16,Lauren Daigle,Light of the World,162250
2022-01-21 22:52,Owl City,This Isn’t The End,203840
2022-01-21 23:20,Owl City,Alligator Sky,173580
2022-03-31 04:55,"My Soul Among Lions, Feat. Corrie Van Dyke",Your Holy Hill (Psalm 15),7809
2022-03-31 04:56,Sandra McCracken,From the Rising of the Sun (Psalm 113),2513
2022-03-31 04:56,Caroline Cobb,Eve's Lament (Genesis),444
2022-03-31 04:56,Gregory Wilbur,Psalm 32: Blest Is the Man,415
2022-03-31 04:56,Advent Birmingham,First Song of Isaiah,9565
2022-03-31 04:58,Clemson RUF Worship,Let Us Love and Sing and Wonder,117400
2022-03-31 05:00,Clemson RUF Worship,We Will Feast in the House of Zion,96560
2022-03-31 05:07,The Worship Initiative,Jesus Paid It All,324090
2022-03-31 05:12,The Worship Initiative,Jesus Paid It All,21351
2022-03-31 13:14,Ordinary Time,How Gentle God's Commands,54880
2022-03-31 13:19,Clemson RUF Worship,Let Us Love and Sing and Wonder,245472
2022-03-31 13:21,Nathan Clark George,We Rise and Worship,135849
2022-03-31 13:33,Coram Deo Church,Doxology,137402
2022-09-12 16:21,Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,261910
2022-09-12 16:24,Gregory Alan Isakov,Amsterdam,198640
2022-09-12 16:29,"nothing,nowhere.",buck,14110
2022-09-12 16:29,ILLENIUM,Heavenly Side,240000
2022-09-12 16:34,John Legend,All of Me,269560
2022-09-12 16:38,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534
2022-09-12 16:43,Cascada,Everytime We Touch,197124
2022-09-12 16:46,Selena Gomez & The Scene,My Dilemma 2.0,189773
2022-09-12 16:50,Demi Lovato,Heart Attack,210840
2022-09-12 17:15,Ava Max,Sweet but Psycho,187436
2022-09-12 17:19,Shawn Mendes,Treat You Better,187973
2022-09-12 17:23,Kygo,It Ain’t Me (with Selena Gomez),220780
2022-09-12 17:27,DJ Snake,Let Me Love You,205946
2022-09-12 17:31,Taylor Swift,Haunted,242080
2022-09-12 17:35,Taylor Swift,Haunted - Acoustic Version,217613
2022-09-12 17:42,Taylor Swift,Enchanted,403590
2022-09-12 17:45,5 Seconds of Summer,Better Man,189630
2022-09-12 17:51,Snow Patrol,Chasing Cars,267960
2022-09-12 17:54,5 Seconds of Summer,Ghost Of You,197411
2022-09-12 17:58,Adele,Set Fire to the Rain,242973
2022-09-12 18:02,Selena Gomez & The Scene,A Year Without Rain,234333
2022-09-12 18:07,Francesca Battistelli,"Beautiful, Beautiful",196493
2022-09-12 18:08,Axwell /\ Ingrosso,More Than You Know,89087
2022-09-12 18:12,Francesca Battistelli,"Beautiful, Beautiful",196493
2022-09-12 18:15,Sara Bareilles,Brave,23666
2022-09-12 18:15,Axwell /\ Ingrosso,More Than You Know,203000
