endTime,artistName,trackName,msPlayed
2021-09-25 00:00,ヨルシカ,又三郎,227731
2021-09-25 00:03,MIYACHI,CHU HI,176051
2021-09-25 00:07,TENDRE,ENDLESS,231438
2021-09-25 00:10,SEVENTEEN,ひとりじゃない,198853
2021-09-25 00:14,LiSA,紅蓮華,237586
2021-09-25 00:18,MAISONdes,Hello/Hello,245214
2021-09-25 00:22,milet,Who I Am,203466
2021-09-25 00:26,PRODUCE 101 JAPAN SEASON2,Let Me Fly,212137
2021-09-25 18:01,Ben Platt,You Will Be Found,360906
2021-09-25 18:02,Dan Stevens,Evermore,1570
2021-09-25 18:02,Ben Platt,Waving Through A Window,600
2021-09-25 18:02,Hugh Jackman,From Now On,580
2021-09-25 18:02,Zac Efron,Rewrite The Stars,1260
2021-09-25 18:02,Ben Platt,Found/Tonight,4880
2021-09-25 18:02,Anna Kendrick,True Colors,1650
2021-09-25 18:02,Andy Grammer,Smoke Clears,350
2021-09-25 18:06,Ben Platt,Waving Through A Window,236809
2021-09-25 22:53,Andy Grammer,Smoke Clears,111280
2021-09-25 23:01,Gunna,Car Sick (feat. NAV & Metro Boomin),431976
2021-09-25 23:02,Gunna,Sold Out Dates (feat. Lil Baby),75760
2021-09-25 23:07,Gunna,Car Sick (feat. NAV & Metro Boomin),247085
2021-09-25 23:20,Gunna,Sold Out Dates (feat. Lil Baby),80160
2021-09-26 00:34,Gunna,Sold Out Dates (feat. Lil Baby),83960
2021-09-26 00:38,Gunna,Car Sick (feat. NAV & Metro Boomin),219816
2021-09-26 03:35,Gunna,Sold Out Dates (feat. Lil Baby),89780
2021-09-26 03:40,Gunna,Car Sick (feat. NAV & Metro Boomin),230749
2021-09-26 14:06,Gunna,Sold Out Dates (feat. Lil Baby),131130
2021-09-26 14:19,Gunna,Car Sick (feat. NAV & Metro Boomin),219816
2021-09-26 14:22,NAV,Champion (feat. Travis Scott),195053
2021-09-26 16:00,Gunna,Sold Out Dates (feat. Lil Baby),31988
2021-09-26 16:07,Gunna,Car Sick (feat. NAV & Metro Boomin),236525
2021-09-26 16:10,Gunna,Sold Out Dates (feat. Lil Baby),166368
2021-09-26 16:12,Lil Baby,Yes Indeed,142273
2021-09-26 20:10,Kap G,Marvelous Day (feat. Lil Uzi Vert & Gunna),223920
2021-09-26 21:56,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),366354
2021-09-26 21:59,Lil Yachty,Yacht Club (feat. Juice WRLD),166343
2021-09-26 22:01,NAV,Wanted You (feat. Lil Uzi Vert),121480
2021-09-26 22:05,Gunna,Toast Up,229977
2021-09-26 23:34,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),597
2021-09-26 23:34,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),1258
2021-09-26 23:34,Kap G,Marvelous Day (feat. Lil Uzi Vert & Gunna),1151
2021-09-26 23:34,Lil Baby,Life Goes On,43532
2021-09-26 23:34,NAV,Wanted You (feat. Lil Uzi Vert),511
2021-09-26 23:34,Lil Yachty,Yacht Club (feat. Juice WRLD),618
2021-09-26 23:34,Gunna,Toast Up,490
2021-09-26 23:51,Kap G,Marvelous Day (feat. Lil Uzi Vert & Gunna),223920
2021-09-26 23:56,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),200275
2021-09-27 02:59,Lil Yachty,Yacht Club (feat. Juice WRLD),166343
2021-09-27 03:00,Huncho Jack,Dubai Shit,14330
2021-09-27 03:00,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),180
2021-09-27 03:00,Lil Baby,Life Goes On,1010
2021-09-27 03:00,Lil Baby,Life Goes On,170
2021-09-27 03:00,NAV,Wanted You (feat. Lil Uzi Vert),49212
2021-09-27 03:00,NAV,Wanted You (feat. Lil Uzi Vert),160
2021-09-27 03:00,Lil Yachty,Yacht Club (feat. Juice WRLD),550
2021-09-27 03:00,Gunna,Toast Up,160
2021-09-27 03:00,Gunna,Toast Up,1020
2021-09-27 03:06,Kap G,Marvelous Day (feat. Lil Uzi Vert & Gunna),223920
2021-09-27 03:10,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),200275
2021-09-27 03:10,Lil Yachty,Yacht Club (feat. Juice WRLD),3853
2021-09-27 15:57,PnB Rock,Lowkey (feat. Roy Woods & 24hrs),200275
2021-09-27 16:00,Lil Yachty,Yacht Club (feat. Juice WRLD),166343
2021-09-27 16:03,NAV,Wanted You (feat. Lil Uzi Vert),168200
2021-09-27 17:11,Gunna,Toast Up,140420
2021-09-27 17:15,Imagine Dragons,It's Time,237986
2021-09-27 17:19,Blake Shelton,God's Country,205106
2021-09-27 17:22,Blake Shelton,God's Country,205106
2021-09-27 18:22,Carrie Underwood,Love Wins,14220
2021-09-27 18:26,Gunna,Car Sick (feat. NAV & Metro Boomin),219816
2021-09-27 19:33,Gunna,Toast Up,229977
2021-09-27 19:36,Lil Skies,Nowadays (feat. Landon Cube),203907
2021-09-27 19:37,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),37164
2021-09-27 19:40,Belly,What You Want,192680
2021-09-27 20:22,Trippie Redd,Shake It Up,116680
2021-09-27 20:22,PnB Rock,TTM (feat. Wiz Khalifa & NGHTMRE),6569
2021-09-27 20:26,Imagine Dragons,It's Time,237986
2021-09-27 20:26,Imagine Dragons,Radioactive,36870
2021-09-27 20:30,The Chainsmokers,Takeaway,209880
2021-09-27 20:33,The Chainsmokers,Family,194826
2021-09-27 20:36,Vicetone,Nevada,161083
2021-09-28 02:18,Vicetone,Nevada,1400
2021-09-28 02:18,Vicetone,Nevada,4100
2021-09-28 02:21,Sam Feldt,Post Malone (feat. RANI),174444
2021-09-28 03:14,BANNERS,Someone To You,126945
2021-09-28 03:18,Gunna,Car Sick (feat. NAV & Metro Boomin),219816
2021-09-28 14:29,PnB Rock,TTM (feat. Wiz Khalifa & NGHTMRE),117020
2021-09-28 14:30,Gunna,Car Sick (feat. NAV & Metro Boomin),15650
2021-09-28 15:53,Gunna,Toast Up,229977
2021-09-28 15:58,Gunna,Car Sick (feat. NAV & Metro Boomin),219816
2021-09-28 16:02,NAV,Champion (feat. Travis Scott),195053
2021-09-28 16:04,Lil Durk,How I Know (feat. Lil Baby),152000
2021-09-28 16:07,Lil Baby,Yes Indeed,142273
2021-09-28 16:10,Roddy Ricch,Every Season,214375
2021-09-28 17:19,Gunna,Sold Out Dates (feat. Lil Baby),4568
2021-09-28 17:22,Gunna,Toast Up,229977
2021-09-28 17:25,Gunna,Sold Out Dates (feat. Lil Baby),166368
2021-09-28 17:29,Tory Lanez,MiAMi (feat. Gunna),244469
2021-09-28 17:30,NAV,Wanted You (feat. Lil Uzi Vert),49202
2021-09-28 18:56,The Chainsmokers,Takeaway,800
2021-09-28 18:56,Gunna,Toast Up,229977
2021-09-28 19:02,Blake Shelton,God's Country,183656
2021-09-28 19:05,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),193568
2021-09-28 22:23,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),193568
2021-09-28 22:26,Sam Feldt,Post Malone (feat. RANI),174444
2021-09-28 22:29,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),164205
2021-09-29 15:49,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),4220
2021-09-29 15:49,Bryce Vine,Drew Barrymore,146700
2021-09-29 15:49,Gunna,Toast Up,1390
2021-09-29 15:53,Gunna,Toast Up,229977
2021-09-29 15:55,Gunna,Sold Out Dates (feat. Lil Baby),166368
2021-09-29 15:59,Lil Baby,My Dawg,215423
2021-09-29 18:20,Roddy Ricch,Every Season,203488
2021-09-29 18:24,Blake Shelton,Honey Bee,210720
2021-09-29 18:28,Blake Shelton,God's Country,204800
2021-09-29 18:29,Blake Shelton,God's Country,17790
2021-09-29 18:29,Blake Shelton,Elvira (feat. The Oak Ridge Boys) - Recorded at Sound Stage Nashville,51830
