trackName,endTime,artistName,msPlayed,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist,Likes_Song
"(Shake, Shake, Shake) Shake Your Booty",2022-01-04 23:33,KC & The Sunshine Band,186906,4mn7iv4DYJxPYbPy5R0nPE,"(Shake, Shake, Shake) Shake Your Booty",57,185640,0,['KC & The Sunshine Band'],['3mQBpAOMWYqAZyxtyeo4Lo'],1976,0.6509999999999999,0.945,10,-7.922000000000001,1,0.0361,0.16899999999999998,0.475,0.15,0.9390000000000001,112.292,4,KC & The Sunshine Band,True
"10,000 Hours (with Justin Bieber)",2022-08-25 22:50,Dan + Shay,167693,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",85,167693,0,"['Dan + Shay', 'Justin Bieber']","['7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s']",2019-10-04,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4,Dan + Shay,True
100 Degrees,2022-03-06 05:42,Rich Brian,166145,2ZDpSQfBdgkooeXw6oj3Uz,100 Degrees,66,166146,1,['Rich Brian'],['2IDLDx25HU1nQMKde4n61a'],2019-07-26,0.7559999999999999,0.648,0,-5.287000000000001,1,0.0731,0.11800000000000001,0.0,0.515,0.657,80.979,4,Rich Brian,True
1985,2021-12-16 17:42,Bowling For Soup,193000,5oQcOu1omDykbIPSdSQQNJ,1985,74,193000,0,['Bowling For Soup'],['5ND0mGcL9SKSjWIjPd0xIb'],2004,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.97399999999999,4,Bowling For Soup,True
1999,2021-12-11 19:30,Charli XCX,46580,05mAIVLkIWc2d1UBYZBCp8,1999,64,189000,0,"['Charli XCX', 'Troye Sivan']","['25uiPmTg16RbhZWAqwLBy5', '3WGpXCj9YhhfX11TToZcXP']",2018-10-05,0.7390000000000001,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.22899999999999998,0.659,124.016,4,Charli XCX,True
2 Much,2022-04-04 17:23,Justin Bieber,152796,0oaY19dUwZimIgzn3ZZLZO,2 Much,82,152796,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-03-19,0.583,0.444,9,-8.601,1,0.0456,0.593,0.0,0.353,0.16699999999999998,119.59,4,Justin Bieber,True
20 Min,2022-02-14 18:13,Lil Uzi Vert,220586,0uxSUdBrJy9Un0EYoBowng,20 Min,83,220587,1,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2017-11-17,0.773,0.75,8,-4.0089999999999995,0,0.11699999999999999,0.109,0.0,0.174,0.7829999999999999,123.426,4,Lil Uzi Vert,True
2002,2021-10-20 16:07,Anne-Marie,186986,6xYqksKIeHKP3hHJhXa44Y,2002,10,186987,0,['Anne-Marie'],['1zNqDE7qDGCsyzJwohVaoX'],2020-12-19,0.6970000000000001,0.6829999999999999,1,-2.8810000000000002,0,0.11599999999999999,0.0372,0.0,0.13699999999999998,0.606,96.134,4,Anne-Marie,True
21,2022-03-19 20:43,Polo G,163797,3JKgcAa7r07ocVWcV8bS0H,21,84,163798,1,['Polo G'],['6AgTAQt8XS6jRWi4sX7w49'],2020-05-15,0.7829999999999999,0.479,7,-10.645999999999999,1,0.541,0.149,0.0,0.10099999999999999,0.5329999999999999,176.02700000000002,4,Polo G,True
22,2022-09-10 16:01,Taylor Swift,232120,6ce41JVa6KFaryfmC2bu2W,22,73,232120,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2012-10-22,0.6609999999999999,0.7290000000000001,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.6679999999999999,103.98700000000001,4,Taylor Swift,True
24 (feat. Lil Baby),2022-08-26 22:53,Money Man,182857,7v96VvFLS0wSYT8kewNLRy,24 (feat. Lil Baby),77,182857,1,"['Money Man', 'Lil Baby']","['3Rx4PJ7SP6unkOk5elPUK7', '5f7VJjfbwm532GiveGC0ZK']",2020-08-14,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.45899999999999996,126.03,4,Money Man,True
3 Headed Goat (feat. Lil Baby & Polo G),2022-08-23 19:16,Lil Durk,169531,2h4cmbyb6S7e8igDZIITJU,3 Headed Goat (feat. Lil Baby & Polo G),77,169532,1,"['Lil Durk', 'Lil Baby', 'Polo G']","['3hcs9uc56yIGFCSy9leWe7', '5f7VJjfbwm532GiveGC0ZK', '6AgTAQt8XS6jRWi4sX7w49']",2020-05-08,0.8370000000000001,0.48200000000000004,8,-8.607999999999999,0,0.365,0.268,0.0,0.0991,0.444,143.01,4,Lil Durk,True
"3, 2, 1",2022-04-22 18:24,24kGoldn,131586,2hx8cZug1bgRMXgW5RCTUV,"3, 2, 1",72,131587,1,['24kGoldn'],['6fWVd57NKTalqvmjRd2t8Z'],2021-03-26,0.6940000000000001,0.708,0,-2.066,1,0.13699999999999998,0.24600000000000002,0.0,0.152,0.69,164.958,4,24kGoldn,True
3:15,2022-03-15 19:21,Bazzi,167018,6pmZMP2ET1OJi5rKfLO8jD,3:15,69,167019,1,['Bazzi'],['4GvEc3ANtPPjt1ZJllr5Zl'],2018-04-12,0.6509999999999999,0.654,1,-5.481,1,0.0466,0.385,0.0,0.18100000000000002,0.539,141.975,4,Bazzi,True
4 AM,2022-02-07 20:54,2 Chainz,255560,1nX9KhK3Fff27SnrIor2Yb,4 AM,70,255560,1,"['2 Chainz', 'Travis Scott']","['17lzZA2AlOHwCwFALHttmp', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-06-16,0.7959999999999999,0.5,1,-7.21,1,0.425,0.11800000000000001,0.0,0.155,0.22699999999999998,75.012,4,2 Chainz,True
4 Da Gang (with Roddy Ricch),2021-12-07 03:56,42 Dugg,800,4KIkADzoVm3A10E9qyjsQ5,4 Da Gang (with Roddy Ricch),75,155720,1,"['42 Dugg', 'Roddy Ricch']","['45gHcnDnMC15sgx3VL7ROG', '757aE44tKEUQEqRuT6GnEB']",2021-04-02,0.871,0.545,7,-10.489,1,0.18899999999999997,0.0143,0.0,0.14800000000000002,0.722,100.48200000000001,4,42 Dugg,False
44 More,2021-10-10 19:00,Logic,77842,3e7Y6sfFlIdBMJhX7wpqVO,44 More,69,188600,1,['Logic'],['4xRYI6VqpkE3UwrDrAZL8L'],2018-03-09,0.8240000000000001,0.584,10,-7.098,0,0.221,0.0718,0.0,0.106,0.21899999999999997,139.965,4,Logic,True
5 shots,2022-09-01 17:31,gianni & kyle,181709,0znCw9dSfsrBGUtxAzd9kD,5 shots,70,181710,1,['gianni & kyle'],['5i4BaWy8YIun1u3RXwmlWn'],2018-11-01,0.9179999999999999,0.449,1,-5.702000000000001,1,0.0605,0.124,0.0,0.0595,0.48100000000000004,91.978,4,gianni & kyle,True
50 Ways to Say Goodbye,2022-09-06 17:28,Train,154363,2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,68,247947,0,['Train'],['3FUY2gzHeIiaesXtOAdB7A'],2012-04-17,0.591,0.935,6,-2.6639999999999997,1,0.0478,0.00028399999999999996,0.000278,0.142,0.736,140.043,4,Train,True
66,2022-02-21 04:57,Lil Yachty,153474,6tarvNiKnEjYMj1VZhlDqR,66,64,153475,1,"['Lil Yachty', 'Trippie Redd']","['6icQOAFXDZKsumw3YXyusw', '6Xgp2XMz1fhVYe7i6yNAax']",2018-03-09,0.667,0.723,5,-4.31,0,0.27,0.0455,0.000193,0.213,0.251,148.058,4,Lil Yachty,True
679 (feat. Remy Boyz),2022-01-18 18:28,Fetty Wap,196693,5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),77,196693,1,"['Fetty Wap', 'Remy Boyz']","['6PXS4YHDkKvl1wkIl4V8DL', '2s0yxtiHiyGe6CY4mbDYFi']",2015-06-29,0.618,0.7170000000000001,7,-5.7379999999999995,1,0.318,0.00256,0.0,0.625,0.603,190.05,4,Fetty Wap,True
7 Years,2021-12-08 02:30,Lukas Graham,74470,5kqIPrATaCc2LqxVWzQGbk,7 Years,81,237300,0,['Lukas Graham'],['25u4wHJWxCA9vO0CzxAbK7'],2016-04-01,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,4,Lukas Graham,True
772 Love,2022-02-17 01:23,YNW Melly,209488,230wNo1dnexltKYQbsW7oD,772 Love,73,209489,1,['YNW Melly'],['1cNDP5yjU5vjeR8qMf4grg'],2017-10-16,0.6759999999999999,0.623,6,-7.297000000000001,0,0.0352,0.226,1.66e-05,0.159,0.34700000000000003,111.46600000000001,4,YNW Melly,True
777 ~We can sing a song!~,2021-10-03 00:27,AAA,298293,39amU2P3P8ZP2H97o6u2z6,777 ~We can sing a song!~,36,298293,0,['AAA'],['1AyWsgtaIgXbzjJlTx2ZDp'],2012-08-22,0.6509999999999999,0.9259999999999999,9,-3.213,1,0.0691,0.145,0.0,0.15,0.7120000000000001,130.04,4,AAA,True
7AM,2021-11-07 22:26,Lil Uzi Vert,31290,4v1P7JCjehbg5TmLQo2mFy,7AM,72,219712,1,['Lil Uzi Vert'],['4O15NlyKLIASxsJ0PrXPfz'],2015-12-18,0.638,0.526,7,-8.401,1,0.131,0.275,0.0,0.462,0.301,139.054,4,Lil Uzi Vert,True
A Drop In The Ocean,2022-09-22 22:48,Ron Pope,220239,5JDcQAztvZTIkrWoZihgvC,A Drop In The Ocean,72,220239,0,['Ron Pope'],['6CmXhyslohOFRJMtPpRm4O'],2008-05-04,0.447,0.39299999999999996,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,3,Ron Pope,True
"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",2022-09-16 15:03,Julie Andrews,30418,29bQPrp6BT0w3kaXTqIo8A,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",58,249040,0,['Julie Andrews'],['5RdqZVi36tpDPYNPw8jJbO'],1997-01-01,0.48,0.39,5,-14.253,1,0.149,0.743,1.75e-05,0.13699999999999998,0.642,110.7,4,Julie Andrews,True
A Thousand Years,2021-12-01 19:18,Christina Perri,6825,4TcnMCz0d27SsDNihYqFxW,A Thousand Years,13,285120,0,['Christina Perri'],['7H55rcKCfwqkyDFH9wpKM6'],2021-03-26,0.423,0.40700000000000003,10,-7.45,1,0.0267,0.312,0.0009609999999999999,0.11,0.161,139.048,3,Christina Perri,False
A Whole New World,2022-09-22 02:31,Lea Salonga,160800,5VIfacsWytkcgr7aTt8Tql,A Whole New World,57,160800,0,"['Lea Salonga', 'Brad Kane']","['1GlMjIezcLwV3OFlX0uXOv', '3dAzSJ9lQnJSq5Z0OgDBep']",1992-01-01,0.341,0.22899999999999998,0,-15.795,1,0.0344,0.846,2.81e-06,0.10099999999999999,0.131,126.852,4,Lea Salonga,True
A$AP Forever (feat. Moby),2022-04-12 23:27,A$AP Rocky,233061,1YmF9PvLhIISIANoMLIYGq,A$AP Forever (feat. Moby),67,233061,1,"['A$AP Rocky', 'Moby']","['13ubrt8QOOCPljQ2FL1Kca', '3OsRAKCvk37zwYcnzRf5XF']",2018-04-05,0.469,0.78,10,-6.49,0,0.122,0.22399999999999998,0.0,0.13,0.444,125.999,4,A$AP Rocky,True
ALWAYS DO,2022-07-08 17:42,The Kid LAROI,151704,3QCU8BT0zDS9LPVfEhRFEE,ALWAYS DO,80,151705,1,['The Kid LAROI'],['2tIP7SsRs7vjIcLrU85W8J'],2020-11-06,0.762,0.426,8,-6.865,1,0.113,0.0442,0.0,0.0858,0.5820000000000001,167.827,4,The Kid LAROI,True
AYAYAY!,2022-09-12 13:58,Christian Nodal,131240,7iQc2DabEtzp60faOO9EmN,AYAYAY!,70,131240,0,['Christian Nodal'],['0XwVARXT135rw8lyw1EeWP'],2020-05-29,0.6679999999999999,0.636,2,-3.8160000000000003,1,0.0301,0.479,0.0,0.141,0.736,147.88299999999998,4,Christian Nodal,True
Addison Rae,2022-06-23 05:17,The Kid LAROI,58280,2ImaJZH7XqxrzbQZpYDmol,Addison Rae,71,163574,1,['The Kid LAROI'],['2tIP7SsRs7vjIcLrU85W8J'],2020-03-22,0.9009999999999999,0.49,5,-9.099,0,0.129,0.0155,0.0,0.109,0.397,135.015,4,The Kid LAROI,True
After Hours,2021-10-25 20:29,The Weeknd,76586,2p8IUWQDrpjuFltbdgLOag,After Hours,79,361027,0,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],2020-03-20,0.664,0.5720000000000001,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.14300000000000002,108.959,4,The Weeknd,True
After Party,2022-02-18 04:10,Don Toliver,167915,527k23H0A4Q0UJN3vGs0Da,After Party,84,167916,1,['Don Toliver'],['4Gso3d4CscCijv0lmajZWs'],2020-03-13,0.629,0.6920000000000001,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.45299999999999996,162.94799999999998,4,Don Toliver,True
After School,2022-01-10 21:18,Weeekly,205373,52CBUrIdyf8tbZaUY9iawE,After School,78,205373,0,['Weeekly'],['73B9bjqS2Z5KLXNGqXf64m'],2021-03-17,0.634,0.9279999999999999,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,4,Weeekly,True
All Girls Are The Same,2021-10-29 19:23,Juice WRLD,9379,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,87,165820,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2018-12-10,0.6709999999999999,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4,Juice WRLD,False
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2022-04-21 03:03,DJ Khaled,232506,12PNcnMsjsZ3eHm62t8hiy,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",72,232507,1,"['DJ Khaled', 'Ludacris', 'T-Pain', 'Snoop Dogg', 'Rick Ross']","['0QHgL1lAIqAw0HtD7YldmP', '3ipn9JLAPI5GUEo4y4jcoi', '3aQeKQSyrW4qWr35idm0cy', '7hJcb9fa4alzcOq3EaNPoG', '1sBkRIssrMs1AbVkOJbc7a']",2010-03-02,0.545,0.7809999999999999,10,-3.616,1,0.185,0.0139,0.0,0.161,0.27699999999999997,150.097,4,DJ Khaled,True
All I Want Is Everything (feat. Victoria Justice),2022-01-26 00:21,Victorious Cast,182240,6wtevpyGfiHMwaTltoTcWH,All I Want Is Everything (feat. Victoria Justice),42,182240,0,"['Victorious Cast', 'Victoria Justice']","['1KYszkVzlhV3rAqmAcYIgd', '2OTfr6S2kuHRYStjt1IkY6']",2010,0.408,0.8640000000000001,8,-4.335,0,0.18899999999999997,0.0101,0.0,0.131,0.618,177.02700000000002,4,Victorious Cast,True
All I Want for Christmas Is You,2021-12-17 23:31,Mariah Carey,241106,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,70,241107,0,['Mariah Carey'],['4iHNK0tOyZPYnBU7nGAgpQ'],1994-11-01,0.336,0.627,7,-7.462999999999999,1,0.0384,0.16399999999999998,0.0,0.0708,0.35,150.273,4,Mariah Carey,True
All Night,2022-03-25 18:30,The Vamps,155441,0dXNQ8dckG4eYfEtq9zcva,All Night,77,197640,0,"['The Vamps', 'Matoma']","['7gAppWoH7pcYmphCVTXkzs', '4YXycRbyyAE0wozTk7QMEq']",2017-07-14,0.5379999999999999,0.804,8,-5.194,1,0.0358,0.0041,0.0,0.33,0.507,144.99200000000002,4,The Vamps,True
All Of A Sudden,2022-01-29 23:38,Lil Baby,169186,0XOMoQbYxYPVLxwK4VDmNA,All Of A Sudden,64,169187,1,"['Lil Baby', 'Moneybagg Yo']","['5f7VJjfbwm532GiveGC0ZK', '3tJoFztHeIJkJWMrx0td2f']",2017-12-01,0.759,0.727,1,-5.617000000000001,1,0.111,0.000151,0.0015,0.0588,0.376,139.995,4,Lil Baby,True
All The Small Things,2022-02-01 18:24,blink-182,91940,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,81,167067,0,['blink-182'],['6FBDaR13swtiWwGhX1WQsP'],1999-06-01,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,4,blink-182,True
All Time Low,2021-10-19 23:29,Jon Bellion,217603,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,71,217603,1,['Jon Bellion'],['50JJSqHUf2RQ9xsHs0KMHg'],2016-06-10,0.617,0.5670000000000001,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.24600000000001,4,Jon Bellion,True
All Time Low,2021-10-19 23:29,Jon Bellion,217603,7qVjoGvjdOFfk3uKVhvZU9,All Time Low,56,219460,1,"['Jon Bellion', 'Stormzy']","['50JJSqHUf2RQ9xsHs0KMHg', '2SrSdSvpminqmStGELCSNd']",2017-03-10,0.456,0.643,0,-4.138999999999999,1,0.272,0.0479,0.0,0.10099999999999999,0.6409999999999999,86.54,4,Jon Bellion,True
All We Know,2021-10-19 15:54,The Chainsmokers,194080,2rizacJSyD9S1IQUxUxnsK,All We Know,70,194080,0,"['The Chainsmokers', 'Phoebe Ryan']","['69GGBxA162lTqCwzJG5jLp', '4N874uPqBka1QiCvnCVOtr']",2016-09-29,0.662,0.586,0,-8.821,1,0.0307,0.09699999999999999,0.0027199999999999998,0.115,0.29600000000000004,90.0,4,The Chainsmokers,True
All of Me,2021-12-04 01:39,John Legend,269560,3U4isOIWM3VvDubwSI3y7a,All of Me,87,269560,0,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],2013-08-30,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4,John Legend,True
